Exercise Name,Level,Range,Duration (min),Target,Tags,Routine,Program
Basic Dink Rally,Novice,2.0–3.0,5–10,30 dinks,"Dinking, Positioning, Footwork",Routine 1: Dinks & Serves,Program A: Foundations
Target Dinks,Novice,2.5–3.5,5–10,20 dinks,"Dinking, Spin Control",Routine 1: Dinks & Serves,Program A: Foundations
Basic Serve Placement,Novice,2.0–3.0,5–10,20 serves,"Serves, Spin Control, Positioning",Routine 1: Dinks & Serves,Program A: Foundations
Volley Basics,Novice,2.0–3.0,5–10,20 volleys,"Volleys, Positioning",Routine 1: Dinks & Serves,Program A: Foundations
Dink & Move,Intermediate,3.0–4.0,5–10,10 each side,"Dinking, Footwork, Positioning",Routine 2: Footwork & Returns,Program A: Foundations
Return Deep & Directed,Intermediate,3.0–5.0,10,20 returns,"Returns, Slices, Spin Control",Routine 2: Footwork & Returns,Program A: Foundations
Drop-Advance,Intermediate,3.5–4.5,10,10 sequences,"Drops, 3rd Shot, Transitions",Routine 2: Footwork & Returns,Program A: Foundations
Block Volleys,Intermediate,3.0–4.0,10,10 blocks,"Volleys, Blocks, Resets",Routine 2: Footwork & Returns,Program A: Foundations
Transition Zone Reset,Intermediate,4.0–5.0,10,15 resets,"Resets, Transitions",Routine 3: Resets & Transitions,Program B: Core Development
Drive vs. Block,Intermediate,3.0–4.0,10,10 blocks,"Drives, Volleys, Resets",Routine 3: Resets & Transitions,Program B: Core Development
Pressure Drops,Advanced,5.0–7.0,10,10 resets,"Drops, Resets, 3rd Shot",Routine 3: Resets & Transitions,Program B: Core Development
Speed Up & Reset,Advanced,5.0–7.0,10,10 resets,"Volleys, Resets, Speed Ups",Routine 3: Resets & Transitions,Program B: Core Development
Defensive Lob from NVZ,Intermediate,2.5–4.0,8–10,10 lobs,"Lobs, Defensive Saves",Routine 4: Lobs & Smashes,Program B: Core Development
Offensive Topspin Lob,Advanced,4.0–6.5,8–10,10 lobs,"Lobs, Spin Control, Disguise",Routine 4: Lobs & Smashes,Program B: Core Development
Overhead Smash Basics,Novice,2.0–3.0,5–10,20 smashes,"Smashes, Positioning",Routine 4: Lobs & Smashes,Program B: Core Development
Smash + Recovery,Intermediate,3.5–5.0,10,15 smashes,"Smashes, Footwork",Routine 4: Lobs & Smashes,Program B: Core Development
Spin Serves,Intermediate,3.5–5.0,10,20 spin serves,"Serves, Spin Control",Routine 5: Serves & 3rd Shots,Program C: Competitive Edge
Serve + 3rd Shot Combo,Advanced,4.0–6.0,10,10 sequences,"Serves, 3rd Shot, Drops",Routine 5: Serves & 3rd Shots,Program C: Competitive Edge
Drop Consistency,Intermediate,3.0–4.0,10,20 drops,"Drops, 3rd Shot",Routine 5: Serves & 3rd Shots,Program C: Competitive Edge
Punch Volley Targets,Intermediate,4.0–5.0,10,15 volleys,"Volleys, Putaways",Routine 5: Serves & 3rd Shots,Program C: Competitive Edge
Hand Speed Drills,Pro,7.0–8.0,10,20 volleys in 30s,"Volleys, Conditioning",Routine 6: Hand Speed & Pressure,Program C: Competitive Edge
Drive-Drop Mix,Intermediate,3.5–5.0,10,15 sequences,"Drives, Drops, 3rd Shot",Routine 6: Hand Speed & Pressure,Program C: Competitive Edge
Endurance Rallies,All,2.0–8.0,10,50-ball rally,"Conditioning, Dinking, Drives",Routine 6: Hand Speed & Pressure,Program C: Competitive Edge
Live Point Pressure,Advanced,4.0–8.0,10–15,Win 3 games,"Scenarios, Pressure",Routine 6: Hand Speed & Pressure,Program C: Competitive Edge
Pro-Level Dink Variations,Pro,7.0–8.0,10,10 disguised dinks,"Dinking, Disguise",Routine 7: Advanced Attacks I,Program D: Pro Track
Dink to Erne Setup,Advanced,5.0–7.0,10,10 setups,"Dinking, Erne",Routine 7: Advanced Attacks I,Program D: Pro Track
Erne Practice,Advanced,5.0–8.0,10,10 Ernes,"Advanced Attacks, Erne",Routine 7: Advanced Attacks I,Program D: Pro Track
ATP Drill,Advanced,5.0–8.0,10,10 ATP shots,"Advanced Attacks, ATP",Routine 7: Advanced Attacks I,Program D: Pro Track
Crosscourt Drives,Novice,2.5–3.5,5–10,15 drives,"Drives, Spin Control",Routine 8: Advanced Attacks II,Program D: Pro Track
Poach Drills,Advanced,5.0–7.0,10,10 poaches,"Poaching, Communication",Routine 8: Advanced Attacks II,Program D: Pro Track
Two-Ball Attack,Pro,7.0–8.0,10,10 sequences,"Speed Ups, Putaways",Routine 8: Advanced Attacks II,Program D: Pro Track
Smash Anticipation & Defense,Advanced,4.5–7.0,10,10 blocks/lobs,"Smashes, Defensive Saves",Routine 8: Advanced Attacks II,Program D: Pro Track
Lob Read & Retrieval,Intermediate,3.0–7.0,8–10,10 retrievals,"Lobs, Footwork, Resets",Routine 9: Defense & Resets,Program D: Pro Track
Pressure Drops,Advanced,5.0–7.0,10,10 drops,"Drops, Resets",Routine 9: Defense & Resets,Program D: Pro Track
Block Volleys,Intermediate,3.0–4.0,10,10 blocks,"Volleys, Resets",Routine 9: Defense & Resets,Program D: Pro Track
Multiball Feeding,Advanced,5.0–8.0,10,20 balls,"Conditioning, Defensive Saves",Routine 9: Defense & Resets,Program D: Pro Track
Disguised Drops,Pro,7.0–8.0,10,10 disguised drops,"Drops, Disguise",Routine 10: Spin & Disguise,Program D: Pro Track
Offensive Topspin Lob,Advanced,4.0–6.5,8–10,10 topspin lobs,"Lobs, Disguise",Routine 10: Spin & Disguise,Program D: Pro Track
Advanced Disguised Smash,Pro,6.0–8.0,10,8 smashes,"Smashes, Disguise",Routine 10: Spin & Disguise,Program D: Pro Track
Disguise & Deception,Pro,7.0–8.0,10,10 shots,"Advanced Attacks, Disguise",Routine 10: Spin & Disguise,Program D: Pro Track
Serve + 3rd Shot Combo,Advanced,4.0–6.0,10,10 sequences,"Serves, 3rd Shot",Routine 11: Pattern Play,Program D: Pro Track
Dink → Lob → Reset Pattern,Advanced,4.0–7.5,10,8 sequences,"Dinking, Lobs, Resets",Routine 11: Pattern Play,Program D: Pro Track
Drive-Counter-Drive,Pro,7.0–8.0,10,10 drives,"Drives, Speed Ups",Routine 11: Pattern Play,Program D: Pro Track
Live Point Pressure,Advanced,4.0–8.0,10–15,Win 3 games,"Scenarios, Pressure",Routine 11: Pattern Play,Program D: Pro Track
Endurance Rallies,All,2.0–8.0,10,50-ball rally,"Dinking, Drives",Routine 12: Simulation & Conditioning,Program D: Pro Track
Hand Speed Drills,Pro,7.0–8.0,10,20 volleys,"Volleys, Conditioning",Routine 12: Simulation & Conditioning,Program D: Pro Track
Transition Zone Reset,Intermediate,4.0–5.0,10,15 resets,"Resets, Transitions",Routine 12: Simulation & Conditioning,Program D: Pro Track
Poach Drills,Advanced,5.0–7.0,10,10 poaches,"Poaching, Communication",Routine 12: Simulation & Conditioning,Program D: Pro Track